file,species
test\e82017baa.png,Loose Silky-bent
test\e84464f5a.png,Cleavers
test\e88bf0db9.png,Small-flowered Cranesbill
test\e901b0f28.png,Fat Hen
test\e921021a8.png,Fat Hen
test\e96e57a90.png,Shepherds Purse
test\e98e5d1d5.png,Loose Silky-bent
test\e9cd91682.png,Common Chickweed
test\e9d48d664.png,Shepherds Purse
test\eaf0815e2.png,Small-flowered Cranesbill
test\ec08a5d56.png,Shepherds Purse
test\ede6b84b4.png,Cleavers
test\edfdb4aeb.png,Common Chickweed
test\eec1079a1.png,Charlock
test\eef131644.png,Loose Silky-bent
test\ef02b4ee7.png,Sugar beet
test\ef3e232ad.png,Common Chickweed
test\ef65533d5.png,Black-grass
test\ef74dbcad.png,Scentless Mayweed
test\ef7a5651d.png,Scentless Mayweed
test\ef9676433.png,Charlock
test\efe19dc32.png,Charlock
test\f0ffa00bd.png,Sugar beet
test\f1e87cba7.png,Loose Silky-bent
test\f1f7c833f.png,Shepherds Purse
test\f23faf9c1.png,Loose Silky-bent
test\f25996db8.png,Small-flowered Cranesbill
test\f2dc546ca.png,Cleavers
test\f33e9d918.png,Scentless Mayweed
test\f351ce097.png,Loose Silky-bent
test\f3fcfff1b.png,Charlock
test\f4021df6c.png,Scentless Mayweed
test\f4234cf4f.png,Fat Hen
test\f445fe6fb.png,Charlock
test\f48916a8c.png,Scentless Mayweed
test\f4ad9d950.png,Sugar beet
test\f4caf74f9.png,Charlock
test\f4e7733d4.png,Small-flowered Cranesbill
test\f593c9cf0.png,Sugar beet
test\f66ae4070.png,Maize
test\f6d250856.png,Shepherds Purse
test\f8318faf1.png,Common Chickweed
test\f85ed9b6d.png,Shepherds Purse
test\f9b6bfb00.png,Cleavers
test\f9ea23fb5.png,Fat Hen
test\f9f35cbd4.png,Common Chickweed
test\fa5fd1384.png,Shepherds Purse
test\fa9f3a8f9.png,Cleavers
test\fadc6adbc.png,Charlock
test\fb022edf9.png,Fat Hen
test\fba8fc78a.png,Black-grass
test\fbf88b6be.png,Charlock
test\fc3e58836.png,Scentless Mayweed
test\fc6f686fb.png,Sugar beet
test\fd253a74e.png,Cleavers
test\fd87b36ae.png,Black-grass
test\fd925f542.png,Common Chickweed
test\fda0b5c38.png,Common wheat
test\fda39e16f.png,Loose Silky-bent
test\fdea6b119.png,Loose Silky-bent
test\fe29629fb.png,Loose Silky-bent
test\fe9e87b78.png,Common Chickweed
test\fea1d13d6.png,Common Chickweed
test\fea355851.png,Loose Silky-bent
test\fea3da57c.png,Sugar beet
test\fef2ade8c.png,Sugar beet
test\ff65bc002.png,Cleavers
test\ffc6f8527.png,Common wheat
